benchmark,example_id,setting,epsilon_A,epsilon_H,epsilon_O,gamma_S,tau_S,tau_A,tau_H,tau_O,tau_route,tau_repr,G,positive_G,censored_S,censored_A,censored_H,censored_O
GSM8K,test-0559,default,0.004439264510186727,0.03840158730745316,0.035178973319178276,0.9,10,11,21,23,11,21,10,1,0,0,0,0
GSM8K,test-0614,default,0.004536469018203207,0.03867573142051697,0.034540161410007965,0.9,9,11,20,21,11,20,9,1,0,0,0,0
GSM8K,test-0640,default,0.005180546750462699,0.03984049707651138,0.03768545249985023,0.9,13,12,24,26,13,24,11,1,0,0,0,0
GSM8K,test-0654,default,0.0042828093739543955,0.03799640238285065,0.03412394418635152,0.9,10,12,22,24,12,22,10,1,0,0,0,0
GSM8K,test-0659,default,0.004388415859588845,0.038498447835445405,0.03434935433620756,0.9,10,11,20,21,11,20,9,1,0,0,0,0
GSM8K,test-0718,default,0.0048920258748429745,0.03879674077033997,0.03545966945588589,0.9,11,13,23,24,13,23,10,1,0,0,0,0
GSM8K,test-0853,default,0.004645013078062965,0.038673751056194305,0.035097670511088586,0.9,10,12,22,23,12,22,10,1,0,0,0,0
GSM8K,test-0960,default,0.0049535876568618485,0.03961077779531479,0.03698024425316941,0.9,12,12,21,22,12,21,9,1,0,0,0,0
GSM8K,test-0967,default,0.004553219397732226,0.038749679923057556,0.0343612177670002,0.9,10,12,22,23,12,22,10,1,0,0,0,0
GSM8K,test-0977,default,0.004496398226791909,0.03826650530099869,0.03464186577295715,0.9,10,11,22,23,11,22,11,1,0,0,0,0
GSM8K,test-1025,default,0.004453393521305936,0.0385788694024086,0.03518593165346167,0.9,9,11,22,23,11,22,11,1,0,0,0,0
GSM8K,test-1056,default,0.0042471251062075185,0.03842126876115799,0.03487624954940243,0.9,9,11,21,22,11,21,10,1,0,0,0,0
GSM8K,test-1082,default,0.004353539341034114,0.038421086966991425,0.03399948636577888,0.9,10,12,22,24,12,22,10,1,0,0,0,0
GSM8K,test-1087,default,0.0046844275054966356,0.03937857747077942,0.035663656202906915,0.9,10,11,20,22,11,20,9,1,0,0,0,0
GSM8K,test-1100,default,0.0043972482329065156,0.03819765001535416,0.03420706399970434,0.9,9,11,21,23,11,21,10,1,0,0,0,0
GSM8K,test-1115,default,0.0043644995725480844,0.03870687782764435,0.034034763974222275,0.9,10,11,23,24,11,23,12,1,0,0,0,0
GSM8K,test-1149,default,0.004362820907421834,0.03812842518091202,0.034092641502449464,0.9,9,10,21,23,10,21,11,1,0,0,0,0
GSM8K,test-1193,default,0.004739530989900232,0.03901096433401108,0.03571520148353143,0.9,11,12,22,23,12,22,10,1,0,0,0,0
GSM8K,test-1232,default,0.004797573239616627,0.038715362548828125,0.03566300270232287,0.9,10,11,21,22,11,21,10,1,0,0,0,0
GSM8K,test-1313,default,0.00415461465943901,0.037926855683326724,0.03357299626042897,0.9,9,11,21,23,11,21,10,1,0,0,0,0
