example_id,target_context_length,actual_context_prompt_length,prompt_sha256
5a776a805542993735360269__natural_4096,4096,3912,51736e779261214d9c7ff988daf46d8d665d5089c999870ec779fc007ef7c38c
5ac27d2555429963665199dc__natural_512,512,496,e27dff082b4937ff17ca4edefbd303fffc05145565a33eba620d8eb22fb1175c
5ac27d2555429963665199dc__natural_1024,1024,844,3a7b99d7fe9863fef25eb130f70daf6003ca704667ae70abe60547dcd1af8656
5ac27d2555429963665199dc__natural_2048,2048,2007,7a6309cfc05249fd0fcfa161fd28c3f72d601e28f08baa0d143e11700d59692e
5ac27d2555429963665199dc__natural_4096,4096,3994,d5d7c6fa4f6c3aa7974b15fb176b15c47b7284f22fd307520c779fe582f7d6f8
5a806cdf5542996402f6a508__natural_512,512,511,931d4e7f1272b432b7449e1eea12ebe16ae89efe8067a09e4e0c791921666519
5a806cdf5542996402f6a508__natural_1024,1024,979,82488c72ca143a702e4a2b0617b6669367f43a90ab601cfe8c5a76fbe33f58a7
5a806cdf5542996402f6a508__natural_2048,2048,1940,7f546615d6fde302479c2c57c85755a71ba9486ab387e36954cac1b55a48b7a3
5a806cdf5542996402f6a508__natural_4096,4096,3879,fdb2279a619cb12404c09169aa0a6f16a9dedb4e3bc4e555e20dab65bad7fad2
5a77dbaf5542997042120b5b__natural_512,512,448,ff77d8a2c87386463a3e29dfbb3e189a418dae21831e5438e8dd995a948cc450
5a77dbaf5542997042120b5b__natural_1024,1024,796,ac6ec2db1632aa4818a97f1aeebf8a264bc7beaed6cd9068615635795aac9912
5a77dbaf5542997042120b5b__natural_2048,2048,2007,c8c57b77006e02fd0ea17603f92535c4a815e57f5f5911126037179d32251d0c
5a77dbaf5542997042120b5b__natural_4096,4096,3946,51a8260907a45105d613c1316d7dda675d2971f5fdd99da3562fbe99b588c792
5a810d7655429903bc27b915__natural_512,512,432,74ee0db5c2cb57dc52001cc22a71ece043efb4d02a49f5494bfb89fbdcfeebfc
5a810d7655429903bc27b915__natural_1024,1024,780,26e03a6dfa59b3748d581e4b403f487abd2d86af67df143ae7876a31a354d3e1
5a810d7655429903bc27b915__natural_2048,2048,1991,18e83ab0d8226479b58b2a8fa1f13f7eb441bb0e72f84721c89bf61c3548a6da
5a810d7655429903bc27b915__natural_4096,4096,3930,70ae47d3c5a335eafad9000184f5203347ad0a45d92db24fad55ff0dca7c0156
5adf0e7c5542992d7e9f9297__natural_512,512,452,55dfc60212dc26ea2b52e2dad817b473088a7b9eb86ef7d68f956bf1de16359b
5adf0e7c5542992d7e9f9297__natural_1024,1024,879,637fb31d2bdb1f449b80a0629c6e94334229071d2806e219bbf3a1f7708e44a1
5adf0e7c5542992d7e9f9297__natural_2048,2048,2042,ded843a0b822f1a0b4dc1fbe3197a347679ca711589660ef54e648c686328822
5adf0e7c5542992d7e9f9297__natural_4096,4096,3870,6d1f18926081d84ee9f8e4bf4f2aefd678cc967e6227c09949ed1f8e181a3939
5a7182b65542994082a3e85b__natural_512,512,448,ce9061386ad14a5b8d126dd06924c2d8a1634c8b6cae400f3e93a7b1441939c1
5a7182b65542994082a3e85b__natural_1024,1024,875,bd046741063dc77a158224deda9be290014cac1cb868a05cab4bc5debd87b6fd
5a7182b65542994082a3e85b__natural_2048,2048,2038,f04703e4b9a5d28c2455d478855d2d540fe5912cc3004f942c7ee10bb9e23370
5a7182b65542994082a3e85b__natural_4096,4096,3866,563edd2ce42247f224cb40e0b26e5018ee56bf5fcf9be08d7f442f42f51152a8
5a875fee5542996e4f3087ab__natural_512,512,465,7335a6466a0d5d581db97671664aee330ef1540a668f3269196d633f8dfc144d
5a875fee5542996e4f3087ab__natural_1024,1024,933,75c76a27d35e04ff840ba4e7c0898262a28b580860d2c5fc896f79405ab4e123
5a875fee5542996e4f3087ab__natural_2048,2048,1894,348b3913d4ce5bdb80b5a8b3545a8a7e0fb6d951aa241b14084eb2d08eec39b2
5a875fee5542996e4f3087ab__natural_4096,4096,3999,7a88cd4c1685f2caa4df6b8164703d69e1a1fb7b1c163d076f63c80c861e249e
5a74f8235542993748c89766__natural_512,512,499,a0976be12be8e57a07d77ce71a2424477676560cd1975508d9baa9379a7fd263
5a74f8235542993748c89766__natural_1024,1024,967,b9b981c1720c977f5ef5d74ab6a978dc4798bf6648c357c9af88ca88d87a3cbb
5a74f8235542993748c89766__natural_2048,2048,1928,ea5cbbd42dbfaffd96aafc54be72a5506568c1d59dffb4fa069ec34a3fdd5e85
5a74f8235542993748c89766__natural_4096,4096,3867,656b8996210b7464456c68627a684ee2885c9ebd1e4fbfc27f901d6485883f54
5a89a82c5542993b751ca973__natural_512,512,414,69ea462e06fc366f27a1fe268c87d3b72d04dcf36d6d44ac82887d77f146b349
5a89a82c5542993b751ca973__natural_1024,1024,1012,80941199fca99d9cfc398b67f68fcc6f90505fc560d49dd5c51c236fa1be2d3e
5a89a82c5542993b751ca973__natural_2048,2048,1973,c4a44b98f42d3073498239c125de713bbf537c1fd2cf561e60c029a3a9f51aba
5a89a82c5542993b751ca973__natural_4096,4096,3912,6b0aa463e415e508f051f31dfe7333ae2626b755248e7760fc08b38679e30c59
5a72a0be5542992359bc3143__natural_512,512,456,13617c29f0ae4d40aaf2847365c8b39cc8082106990124a75105c8952a129311
5a72a0be5542992359bc3143__natural_1024,1024,946,048891e2e7f910dacdf672ffc9b4eb324d4ca174e9859d33ff10588bd9d97bf6
5a72a0be5542992359bc3143__natural_2048,2048,1908,86259dfdc70be6f90be7975bb2ed0fcd0c11c80bb11c7e4dbd95e785bf091772
5a72a0be5542992359bc3143__natural_4096,4096,3937,72dc8f97387fec7914540c58f79c6740ecbbf6af8066f1224dad3e92740f3a5a
5a75377c55429929fddd8514__natural_512,512,453,832f203d6a4ce069cedc056e48f6e02d33a0281a3aeb74b3217b1e53e664fa0c
5a75377c55429929fddd8514__natural_1024,1024,921,44f180f0e485821ae2070e1b03073e69677c0d3c38d973f02eaa7690398502be
5a75377c55429929fddd8514__natural_2048,2048,1882,2379f3161df25656c843dfdd77ce1756322e7b39010f9e6d3ea4bfa14333be76
5a75377c55429929fddd8514__natural_4096,4096,3987,d4a48f960900fd87ea48d2b0960ff07cc118173cb4009a53c2c1bcf7acf754c0
5a7e30b255429934daa2fbeb__natural_512,512,479,c3bd8a28ab78e4a7957dbe1a18899aa80fd563b591cc8f8ebceec1cb405f3700
5a7e30b255429934daa2fbeb__natural_1024,1024,827,8eab90d70d9949260926b7d404e0e7c2db5f653b46b5564f7d05a68518be9a8b
5a7e30b255429934daa2fbeb__natural_2048,2048,2038,8a9df608d52102908b1a82ca41b5304c5ff823a014462b3937ceb841a225ee84
5a7e30b255429934daa2fbeb__natural_4096,4096,3977,f7a1e7b044e83b9d710454a87c757ac9620259b1765bdc3e9d5f1fd79ea82f36
5ac3b4cc554299741d48a2eb__natural_512,512,451,45093ae3f72f577f598234af1f0310c2491e955e1b0cf8c2c6e343c93abd7204
5ac3b4cc554299741d48a2eb__natural_1024,1024,799,c8f812ada18d01ff8b8b1bd09cc2408dc07da554ee8fa9427cffc7d67545cf4f
5ac3b4cc554299741d48a2eb__natural_2048,2048,2010,d8fabcffa2813affcc420c56765d4ce93dcfdcb6449b4a2bc78c24a25d665d2b
5ac3b4cc554299741d48a2eb__natural_4096,4096,3949,b08791f2f76c48253114cc8777faf28a782129bfc92a760e00499dc9bde5227f
5a80c79155429938b61421da__natural_512,512,492,40a6d7d3f9c78ba3028de56af0ca25b0d7305d79f75610cc93d9242231ba6736
5a80c79155429938b61421da__natural_1024,1024,960,eb94091b468881fe9f144a454b7dd46f5b5032f3fe373598b7d0f589e9b8db25
5a80c79155429938b61421da__natural_2048,2048,1921,2d348077a784c7da87c8bed970abc73cde1c5205644e969b32c3ff87bf6a12b9
5a80c79155429938b61421da__natural_4096,4096,3860,e46b1551e226438c72609ea57ab40740bec0a71757bd16711f729d6fadec60c8
5ac3b39e554299204fd21e09__natural_512,512,470,19840e541186491351385196d39b34ee1eeb7cb7fb33a98bc866ec8195cfaaca
5ac3b39e554299204fd21e09__natural_1024,1024,818,466365f591e469c221126ec3dbbf20d46e79fb5cc70be4dff514cb15f3c6005d
5ac3b39e554299204fd21e09__natural_2048,2048,2029,63511dfdfc378f498d9841278c269e7390f3273cb81ae2d3bdd500dc1ddb0098
5ac3b39e554299204fd21e09__natural_4096,4096,3968,4c44ac887aa5dc7606a0b603c7e63f59dc493c8bf4354883e667a6c6673f7476
5a7bb7f2554299042af8f7b6__natural_512,512,398,1554e2f41e9a72e5b91c14dd0c3d44895116bb81f253ab8919f6281c9b186494
5a7bb7f2554299042af8f7b6__natural_1024,1024,996,3f9f162a6cffe19f7680c7a71a0a2b38c39249943b0102e6ad6cbfeba9630379
5a7bb7f2554299042af8f7b6__natural_2048,2048,1957,db92cd2d04edcf8c249e2aa92c8a8b8daf4ae521be12068692ebe1394317cd71
5a7bb7f2554299042af8f7b6__natural_4096,4096,3896,7c9d2a8861c46da50b32cee800b4e1b8711d9cda6b345c99cac477ea5e5b492c
5a7354d55542994cef4bc55a__natural_512,512,481,bf6117690615808bd65759667931c7314a43c647b455bd89c022ef6b3b04c406
5a7354d55542994cef4bc55a__natural_1024,1024,829,0b6d7115b10510bd9a9b03560390c73afadb0dd022d4a138cc180156e50cdc89
5a7354d55542994cef4bc55a__natural_2048,2048,2040,1aab0d7bac01d3f5a7d1a50ad9845be5eee6afdcef66672f15b6cb0413ee5fd9
5a7354d55542994cef4bc55a__natural_4096,4096,3979,8b5997956d1fd942b18ac0c50fb74980f931793ec5b9ddb87be32fb1d8575a02
5ab69f13554299710c8d1ef3__natural_512,512,453,38d464c1eea93f9ac0cc10227067f6f586eb7cc8113ddab7a0a62521d87200fc
5ab69f13554299710c8d1ef3__natural_1024,1024,921,8467f64ae9168e3a7f8b5e6329a4785fa90092823f853ab6b03ca5b0cfa9ec29
5ab69f13554299710c8d1ef3__natural_2048,2048,1882,8eba07238f03841f0496dab314a63a7a3d9520a234f461e8f73a53f57fe3ab97
5ab69f13554299710c8d1ef3__natural_4096,4096,3987,ea0b3fadc97ab6aa107518c2b2caa78628ce5945016e98c70201cc1df1e89263
5a75f0bf5542994ccc91866b__natural_512,512,481,a35e479d960dba395dacb4bff3049cc5fba1f14b2620d951b9a37891d2a59162
5a75f0bf5542994ccc91866b__natural_1024,1024,949,f5a2e2587a3ca5f2ffb426411dfdb5648e5d2cc28c77e6385d22f25708e26f16
5a75f0bf5542994ccc91866b__natural_2048,2048,1910,0e0085504209971cdacc37695088a192f45e10de9f519306b3ead373686ddc2e
5a75f0bf5542994ccc91866b__natural_4096,4096,3849,ef86057bc4fa94655529a8a2bf80d53014b908a547444657386ce54f71f532fc
5a8a12ae5542992d82986e92__natural_512,512,479,3ed7b88a8462f514e23c3b2cb61f74ef4dfc750c77a8b39233687271cfcd3728
5a8a12ae5542992d82986e92__natural_1024,1024,947,00f60234ac010d20eb5d4b67a7d0dcb66ed3f92c2eb734051de124f0d8dc5d93
5a8a12ae5542992d82986e92__natural_2048,2048,1908,75fedb91f5f78a5acacaeeec2e5cc741807868c43c2ef7d13c2f0ef8cc7bd663
5a8a12ae5542992d82986e92__natural_4096,4096,3847,532dcbc8907bb96695f6f2c5e21792fd8d3472101590adb72145cbd8199f7f70
5a84b7db5542991dd0999db0__natural_512,512,422,bcadca28e42644787f451edde3c5a78e0e8196ee565a20a9ed0a50c3889fb83d
5a84b7db5542991dd0999db0__natural_1024,1024,1020,3461c1c43df4f4e9a774951691565e7b85b968663956f5c45101010fd6bf0389
5a84b7db5542991dd0999db0__natural_2048,2048,1981,2868b507fcbcf26e619be6541ac766faf2139b5c5b63284ca61cc921e01adaa6
5a84b7db5542991dd0999db0__natural_4096,4096,3920,da3a648786cf9140d457b2414b98bd1c2d5b909e17320de16916d0979f3bc552
5a8bae135542996e8ac889b6__natural_512,512,449,62996f7a60720ca99fd37c711418b33f70d9e0bae3d190721aff3c2df257791b
5a8bae135542996e8ac889b6__natural_1024,1024,917,ef8595d7196ff28e9053a0dbc8da3f513892305efbd2c83e622855e993871400
5a8bae135542996e8ac889b6__natural_2048,2048,1878,c3a2b0bee194f7ea44b972d0a6596c84987c4a842fb6d31acf8bfc9d0324bd91
5a8bae135542996e8ac889b6__natural_4096,4096,3983,2e4c687e55ee4a19415104c08304de4185ceda39ff80220f8f92fc9e5340444f
