benchmark,example_id,prompt_sha256
GSM8K,test-0521,0fc35e91b115b5ce659203e01aadaa9f292e3a021643937af46f5a4f9626f32b
GSM8K,test-1087,0c37755e703046c37474c0390f352bdcd5f5cbc4bac057c90f365575a6a33c48
GSM8K,test-0241,6f5f994910632429c45d82a8ed04cf56dcae4052dc0fd8ef34ef5ffc6cc3b546
GSM8K,test-0960,53eface12bec6e707d4b9fb79780d78204eb8c2a063ff2d3046387d37a4df49d
GSM8K,test-0654,cdad2d71b34c2284227cebaf3ea373b77a97da27ef8df3ba9a318a7e8cf5d29f
GSM8K,test-1313,5702106ea4054b8b8dcd72fd690d44c921daeb0b4bbd2006d75de740c12204ff
GSM8K,test-0977,552553be29bac8c7c85a66900b42c7a373b4b07de91ee6fe16c37f6c98a180a7
GSM8K,test-0640,f28d317081187e3568b6767b1a146fcca3001f8ddd1d5bbf5ef61274f478d7cd
GSM8K,test-0324,757fa126eb9ea32330388bfe9c19552d9a29df4dec9da3f6b332a17dcf37bec4
GSM8K,test-0659,d2dd475e6a11b1073242402c24a43f17208b6e2096d3ce0b5c2b3f3ae1856a08
GSM8K,test-1025,1c2634fff4c52e36fae5559e9347851be71ce0d64e33de34e40107a98f42221e
GSM8K,test-0853,ea46c3a8f70b80e724fbdf8024c42d9e9a847239d2f7a814f2330c2026fe6e56
GSM8K,test-1193,fa69b9b9be9871fa2db1f537a5376210da307d3ec80f0457ae03c5c2e09934e7
GSM8K,test-0559,96c61cace177d54051553d05fb2a6adcb4030377d5960b2e106ac23cdd2ccb86
GSM8K,test-0718,7fedb08bdef879ead84ba6810c3d2b4981ca9fb2a7e586c8cf2382041289f1ba
GSM8K,test-1082,9cffc8954d156c44bc5d1b6eef8f5ef883ae46d3697929db1556edf169118375
GSM8K,test-0410,7ad922c52853d89c9f112303a7f236ec4718343d973d5834ba80e96a2a0244fc
GSM8K,test-1149,e564587c451151e5d5a4b8b16125fad7c8d95ffed66d54e5ecb3040e6ee0c21c
GSM8K,test-0614,f5114d27ed8502311d0cf22de0edd4e1537532c0c50625e531b0b1d9457fbcad
GSM8K,test-0005,aa440666ecfe554fa687401c2db1dcb8680d9b6dcde2d609fd85f445038d53a5
GSM8K,test-0100,9b091e0ca66141a36f812facc956acc705b12ccc23a51188d16c0b354557079a
GSM8K,test-0967,2c31dd3f0897b4ab999cd9c251b0611cc8cf1f6e32267bbdf0e0bdbb75854f15
GSM8K,test-0466,8d70a7e005334154c79a100ebac198054b0bbda82f477a74e5731c98445cfc90
GSM8K,test-1100,af585890188fa4e56f131d60e6b066ac2b37af32e3b7bedcf2da295e400b7599
GSM8K,test-0175,8e0b8e1afcca3d687a6279636b57d79de53b31e57e8084d317877d2409f4a4e3
GSM8K,test-1056,dc564f3632a7046c0a83df8f4c4a1916deafd9889439a02fd482664834eaf7d9
